,REPORT_NUMBER,NAME,DATE_OF_INCIDENT,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,TOTAL_BBLS_RELEASED,FATALITY_IND,INJURY_IND,SHUTDOWN_DUE_ACCIDENT_IND,IGNITE_IND,EXPLODE_IND,ON_OFF_SHORE,INCIDENT_AREA_TYPE,DEPTH_OF_COVER,ITEM_INVOLVED,PIPE_DIAMETER,INSTALLATION_YEAR,RELEASE_TYPE,TOTAL_EST_COST,ACCIDENT_PRESSURE,SCADA_DETECTION_IND,CPM_DETECTION_IND,WATER_CONTAM_IND,CAUSE,CAUSE_DETAILS,YEAR_OF_INCIDENT,AGE_OF_FACILITY
0,20210333,MARATHON PIPE LINE LLC,11/11/2021,40.676195,-81.347826,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.5,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,VALVE,,2017,LEAK,2253,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,"FAILURE OF EQUIPMENT BODY (EXCEPT PUMP), TANK PLATE, OR OTHER MATERIAL",2021,4
1,20210335,"CASPER CRUDE TO RAIL, LLC",11/10/2021,42.944716,-106.442801,CRUDE OIL,0.36,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,PUMP,,2019,LEAK,11260,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2021,2
2,20210331,WEST TEXAS GULF PIPELINE CO,11/1/2021,31.777937,-96.400398,CRUDE OIL,2,NO,NO,NO,NO,NO,ONSHORE,UNDERGROUND,120,PIPE,36,2018,LEAK,40168,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,CORROSION FAILURE,INTERNAL CORROSION,2021,3
3,20210334,"FLINT HILLS RESOURCES, LC",11/1/2021,29.834136,-94.892281,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,2.2,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,TUBING,,2018,LEAK,505,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,2021,3
4,20210330,CR PERMIAN PROCESSING LLC,10/27/2021,31.510493,-103.503215,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,10244.18,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,240,"WELD, INCLUDING HEAT-AFFECTED ZONE",8,2018,OTHER,1035359,PRESSURE DID NOT EXCEED MOP,,,YES,CORROSION FAILURE,EXTERNAL CORROSION,2021,3
5,20210326,CHEVRON PIPE LINE CO,10/27/2021,40.097576,-108.877241,CO2 (CARBON DIOXIDE),47.5,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,VALVE,,2019,LEAK,8018,PRESSURE DID NOT EXCEED MOP,YES,YES,NO,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,2021,2
6,20210332,EXPLORER PIPELINE CO,10/25/2021,32.976812,-96.799788,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.3,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,VALVE,,2021,LEAK,3272,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,OTHER INCIDENT CAUSE,UNKNOWN,2021,0
7,20210328,DIXIE PIPELINE COMPANY LLC,10/23/2021,32.340554,-85.092995,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,883,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,48,PIPE,6.625,1965,LEAK,358500,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,OTHER INCIDENT CAUSE,UNKNOWN,2021,56
8,20210324,"MAGELLAN TERMINALS HOLDINGS, LP",10/23/2021,29.751489,-95.203937,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,3,NO,NO,NO,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,TANK/VESSEL,,2012,LEAK,30509,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2021,9
9,20210322,"ONEOK NGL PIPELINE, LLC",10/22/2021,41.652201,-88.030762,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.19,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,RELIEF LINE,,1970,OTHER,282,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,2021,51
